EMD_CD,EMD_ENG_NM,EMD_KOR_NM,area,layer,path,field_1,항목,2024.07,인구밀도
"51150101",Hongje-dong,홍제동,3739921.174,강릉 행정구역,C:/Users/ANNA_1/Downloads/강릉 행정구역.shp,홍제동,총인구수 (명),"14,588",3900.617
"51150109",Okcheon-dong,옥천동,578203.862,강릉 행정구역,C:/Users/ANNA_1/Downloads/강릉 행정구역.shp,옥천동,총인구수 (명),"3,135",5421.963
"51150110",Gyo-dong,교동,5315356.958,강릉 행정구역,C:/Users/ANNA_1/Downloads/강릉 행정구역.shp,교동,총인구수 (명),"31,990",6018.410
"51150111",Ponam-dong,포남동,3854107.343,강릉 행정구역,C:/Users/ANNA_1/Downloads/강릉 행정구역.shp,포남동,총인구수 (명),"22,706",5891.377
"51150112",Chodang-dong,초당동,1676085.625,강릉 행정구역,C:/Users/ANNA_1/Downloads/강릉 행정구역.shp,초당동,총인구수 (명),"4,396",2622.778
"51150250",Jumunjin-eup,주문진읍,60238348.580,강릉 행정구역,C:/Users/ANNA_1/Downloads/강릉 행정구역.shp,주문진읍,총인구수 (명),"15,567",258.423
"51150310",Seongsan-myeon,성산면,80250515.000,강릉 행정구역,C:/Users/ANNA_1/Downloads/강릉 행정구역.shp,성산면,총인구수 (명),"3,433",42.779
"51150320",Wangsan-myeon,왕산면,245666902.400,강릉 행정구역,C:/Users/ANNA_1/Downloads/강릉 행정구역.shp,왕산면,총인구수 (명),"1,513",6.159
"51150330",Gujeong-myeon,구정면,42781146.630,강릉 행정구역,C:/Users/ANNA_1/Downloads/강릉 행정구역.shp,구정면,총인구수 (명),"4,152",97.052
"51150340",Gangdong-myeon,강동면,111838721.500,강릉 행정구역,C:/Users/ANNA_1/Downloads/강릉 행정구역.shp,강동면,총인구수 (명),"3,865",34.559
"51150350",Okgye-myeon,옥계면,148502454.400,강릉 행정구역,C:/Users/ANNA_1/Downloads/강릉 행정구역.shp,옥계면,총인구수 (명),"3,309",22.282
"51150360",Sacheon-myeon,사천면,70878466.200,강릉 행정구역,C:/Users/ANNA_1/Downloads/강릉 행정구역.shp,사천면,총인구수 (명),"5,402",76.215
"51150370",Yeongok-myeon,연곡면,202320923.100,강릉 행정구역,C:/Users/ANNA_1/Downloads/강릉 행정구역.shp,연곡면,총인구수 (명),"6,484",32.048
"51150102",Jungang-dong,중앙동,984051.701,강릉 행정구역,C:/Users/ANNA_1/Downloads/강릉 행정구역.shp,중앙동,총인구수 (명),"4,358",4428.629
"51150116",Naegok-dong,내곡동,4956959.172,강릉 행정구역,C:/Users/ANNA_1/Downloads/강릉 행정구역.shp,내곡동,총인구수 (명),"18,517",3735.556
"51150114",Songjeong-dong,송정동,3442584.964,강릉 행정구역,C:/Users/ANNA_1/Downloads/강릉 행정구역.shp,송정동,총인구수 (명),"9,529",2767.978
"51150119",Gangnam-dong,강남동,16041594.540,강릉 행정구역,C:/Users/ANNA_1/Downloads/강릉 행정구역.shp,강남동,총인구수 (명),"16,685",1040.109
"51150126",Seongdeok-dong,성덕동,11407785.820,강릉 행정구역,C:/Users/ANNA_1/Downloads/강릉 행정구역.shp,성덕동,총인구수 (명),"27,368",2399.063
"51150132",Gyeongpo-dong,경포동,24299156.380,강릉 행정구역,C:/Users/ANNA_1/Downloads/강릉 행정구역.shp,경포동,총인구수 (명),"11,254",463.144
